WKT,SHLAA_REF,NAME,STATUS,HOUS_PROP,SETTLEMENT
"POLYGON ((-1.691642 53.870019,-1.6911 53.869941,-1.690044 53.869884,-1.690112 53.869352,-1.691721 53.869356,-1.691642 53.870019))",4019,"Kirklandhouse, Queensway",housing allocation,17,Yeadon
"POLYGON ((-1.667462 53.843117,-1.667462 53.843142,-1.666098 53.842899,-1.666724 53.84203,-1.665169 53.84166,-1.665256 53.84147,-1.665748 53.841409,-1.666197 53.841233,-1.666861 53.840894,-1.667355 53.840492,-1.668039 53.840292,-1.66853 53.840281,-1.669254 53.840472,-1.670059 53.841194,-1.667979 53.8425,-1.667462 53.843117))",4254,Woodlands Drive,housing allocation,130,Rawdon
