12,421124,439489
34,421771,437622
63,420492,438841
180,420209,441344
271,419291,442038
734,417484,442962
738,418731,442635
741,419995,440357
742,418881,442425
1017,416668,441668
1103,418208,442605
1104,420272,440229
1113,419046,441426
1148,417776,442413
1180A,419075,441233
1180B,418970,441156
1186,420358,443426
1189,421982,442947
1194,417242,441646
1199,424481,440361
1221,420097,440562
1254,419377,443079
1255A,420328,442306
1255B,420315,442133
1256,419801,442510
1308,420834,440446
1311A,419242,441218
1311B,419237,441119
1326,421859,443241
2038,419407,441003
2118,420857,441609
2119,421428,439971
2160,423998,440140
2161,419418,440796
2162,420126,440269
2163A,418894,441318
2163B,418846,441135
3026,418248,442788
3028,419100,442786
3029,419789,442279
3030,420833,441738
3031,419550,440546
3033,420267,439979
3034,421945,439941
3164,420729,441188
3187,420560,440548
3229,421003,439923
3326,421966,440811
3329,422303,438903
3331,422117,438506
3366,421790,441405
4019,420335,441562
4020,418346,441154
4043,418431,443004
4095,422040,438657
4254,421877,438443
5111,419595,442135
5121,418884,441960
5145,422359,439154
5151,420335,439372
5152,420230,439173
HLA27003,420714,439940
HLA28023,420240,441717
HLA28024,419403,442345
52,426188,431561
126,427285,428291
137A,426130,426697
137B,426178,426574
141,426884,426709
148,431713,426716
171,431110,426318
173,430904,425538
304,429647,429767
309,431673,426979
314,428507,424722
333,421942,428542
338,427084,428363
341,428762,430358
343,424410,428307
375,430615,425242
481,428996,430573
493,432452,427022
494,430853,426235
495,431463,425836
501,430795,427674
502,431033,427754
503,431140,427651
509,430298,427873
516,431702,426570
525,427992,425265
527,429997,425222
533,422658,429102
536,428390,424843
544,429696,425555
547,426799,427630
550,426941,426424
551,427546,424872
552,425885,427385
559,426311,427386
562,430793,425608
563,426988,428073
608,426371,431426
637,427058,431284
1018A,427503,427115
1018B,427684,426923
1029,431743,426422
1032,430019,425500
1038,428815,425287
1043,432219,427351
1064A,425153,427014
1064B,425269,426829
1066,430764,424792
1067A,430179,424561
1067B,430179,424898
1068,430648,424502
1069,430357,424938
1072,427017,424989
1077,423052,429410
1096,427109,430297
1099A,426778,429733
1099B,426981,430048
1112,425163,428447
1126,423937,428271
1135,427054,425167
1143A,428504,426353
1143B,428796,426199
1143C,428722,426125
1143D,429226,426198
1143E,429518,426110
1143F,429762,426262
1166,425660,428769
1171A,425498,431242
1171B,425955,431377
1200A,424936,429344
1200B,424993,429434
